id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
1154,Gour Noir Le Gour Noir Le,hydro,Reservoir,Store,FR,55.631191610095314,,1947.0,,,45.071,2.067,,5.2,43.0,0.0,{nan},"{'JRC': {'JRC-H966'}, 'GPD': {'WRI1026706'}, 'GEO': {'GEO-39747'}}"
1155,Grandval,hydro,Reservoir,Store,FR,101.6066509173754,,1959.0,,,44.9219,3.0745,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H649'}, 'GPD': {'WRI1026735'}, 'GEO': {'GEO-3375'}}"
1156,Grangent,hydro,Reservoir,Store,FR,50.8033254586877,,1957.0,,,45.467,4.248,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1042'}, 'GPD': {'WRI1026701'}, 'GEO': {'GEO-39798'}}"
1157,Hautefage,hydro,Reservoir,Store,FR,34.326571252862976,,1958.0,,,45.06,1.994,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1276'}, 'GPD': {'WRI1026686'}, 'GEO': {'GEO-39748'}}"
1158,Jouques,hydro,Run-Of-River,PP,FR,73.34102657389008,,1959.0,,,43.681,5.656,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H815'}, 'GPD': {'WRI1026737'}, 'GEO': {'GEO-39733'}}"
1159,Lanau,hydro,Reservoir,Store,FR,28.834319860193265,,1962.0,,,44.891,3.003,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1369'}, 'GPD': {'WRI1026681'}, 'GEO': {'GEO-39744'}}"
1160,Lardy,hydro,Reservoir,Store,FR,61.78782825793492,,1947.0,,,44.662,2.583,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H914'}, 'GPD': {'WRI1026717'}, 'GEO': {'GEO-39730'}}"
1161,Licq Atherey Licq Atherey Licq Atherey,hydro,Reservoir,Store,FR,37.62192209124636,,1956.0,,,43.048,-0.886,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1192'}, 'GPD': {'WRI1026689'}, 'GEO': {'GEO-39804'}}"
1162,Lot,hydro,Reservoir,Store,FR,39.26959751739195,,,,,44.663,2.664,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1170'}, 'GPD': {'WRI1026691'}, 'GEO': {'GEO-39731'}}"
1163,Louron,hydro,Reservoir,Store,FR,68.56544365944247,,1940.0,,,42.79,0.41,,25.4,24.0,0.0,{nan},"{'JRC': {'JRC-H856'}, 'GPD': {'WRI1026720'}, 'GEO': {'GEO-39775'}}"
1164,Soulom,hydro,Reservoir,Store,FR,78.26458246375964,,,,,42.953,-0.069,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H768'}, 'GPD': {'WRI1026726'}, 'GEO': {'GEO-39803'}}"
1165,Manosque Voix Manosque Voix Manosque Voix,hydro,Run-Of-River,PP,FR,51.71482642798914,,1969.0,,,43.877,5.863,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1029'}, 'GPD': {'WRI1026724'}, 'GEO': {'GEO-39709'}}"
1166,Marcillac Barrage La Valette,hydro,Reservoir,Store,FR,41.72339370757149,,1949.0,,,45.215,2.038,,31.0,230.0,0.0,{nan},"{'JRC': {'JRC-H1154'}, 'GPD': {'WRI1026695'}, 'GEO': {'GEO-39751'}}"
1167,Mazet,hydro,Reservoir,Store,FR,77.88366825413344,,1951.0,,,45.801,1.803,,106.0,38.0,0.0,{nan},"{'JRC': {'JRC-H770'}, 'GPD': {'WRI1026725'}, 'GEO': {'GEO-39777'}}"
1168,Moux Charmines Moux Charmines Moux Charmines,hydro,Reservoir,Store,FR,38.44575980431915,,1950.0,,,46.277,5.554,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1189'}, 'GPD': {'WRI1026690'}, 'GEO': {'GEO-39701'}}"
1169,Nentilla,hydro,Reservoir,Store,FR,75.10210867362868,,1932.0,,,42.772,2.213,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H538'}, 'GPD': {'WRI1026748'}, 'GEO': {'GEO-39719'}}"
1170,Ocana,hydro,Reservoir,Store,FR,58.35517114099329,,1961.0,,,41.946,8.935,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H950'}, 'GPD': {'WRI1026711'}, 'GEO': {'GEO-39754'}}"
1171,Oo,hydro,Reservoir,Store,FR,41.72339370757149,,1921.0,,,42.804,0.56,,19.5,15.0,0.0,{nan},"{'JRC': {'JRC-H1127'}, 'GPD': {'WRI1026696'}, 'GEO': {'GEO-39765'}}"
1172,Pinet,hydro,Reservoir,Store,FR,92.48685605178346,,1929.0,,,44.07,2.805,,10.4,45.0,0.0,{nan},"{'JRC': {'JRC-H685'}, 'GPD': {'WRI1026730'}, 'GEO': {'GEO-39732'}}"
1173,Portillon Le Portillon Le Portillon Le,hydro,Reservoir,Store,FR,130.44097077756865,,1950.0,,,42.733,0.553,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H544'}, 'GPD': {'WRI1026746'}, 'GEO': {'GEO-39766'}}"
1174,Quinson,hydro,Reservoir,Store,FR,56.29557686526521,,1974.0,,,43.699,6.051,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H964'}, 'GPD': {'WRI1026708'}, 'GEO': {'GEO-39711'}}"
1175,Saint Cassien Saint Cassien Saint Cassien,hydro,Reservoir,Store,FR,29.795463851824294,,1966.0,,,43.602,6.841,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1350'}, 'GPD': {'WRI1026682'}, 'GEO': {'GEO-39821'}}"
1176,Saint Dalmas Saint Dalmas Saint Dalmas,hydro,Reservoir,Store,FR,68.65314250572595,,1917.0,,,44.047,7.586,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H854'}, 'GPD': {'WRI1026722'}, 'GEO': {'GEO-39703'}}"
1177,Saint Georges Commiers Saint Georges De Commiers Saint Georges De Commiers,hydro,Reservoir,Store,FR,82.38377101521581,,1964.0,,,45.006,5.687,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H752'}, 'GPD': {'WRI1026729'}, 'GEO': {'GEO-39794'}}"
1178,Saut Mortier Saut Mortier Saut Mortier,hydro,Run-Of-River,PP,FR,41.371861139609756,,1966.0,,,46.372,5.642,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1153'}, 'GPD': {'WRI1026712'}, 'GEO': {'GEO-39795'}}"
1179,Lugo Di Nazza Lugo Di Nazza Lugo Di Nazza,hydro,Reservoir,Store,FR,53.54945115502255,,1991.0,,,42.091,9.316,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1000'}, 'GPD': {'WRI1026704'}, 'GEO': {'GEO-39764'}}"
1252,Eguzon,hydro,Reservoir,Store,FR,98.86052522104055,,1926.0,,,46.455,1.613,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H661'}, 'GPD': {'WRI1026733'}, 'GEO': {'GEO-39782'}}"
1308,Allement,hydro,Reservoir,Store,FR,43.93801121089666,,1960.0,,,46.112,5.422,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1113'}, 'GPD': {'WRI1026697'}, 'GEO': {'GEO-39694'}}"
1309,Argentat Generating Argentat Generating,hydro,Run-Of-River,PP,FR,66.06204003698818,,1957.0,,,45.104,1.954,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H875'}, 'GPD': {'WRI1026718'}, 'GEO': {'GEO-39745', 'GEO-2154'}}"
1311,Artouste,hydro,Reservoir,Store,FR,122.38862154220969,,1947.0,,,42.887,-0.411,,6.7,56.0,0.0,{nan},"{'JRC': {'JRC-H574'}, 'GPD': {'WRI1026741'}, 'GEO': {'GEO-39802'}}"
1312,Auzerette,hydro,Reservoir,Store,FR,39.818822659440485,,1970.0,,,45.365,2.646,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1166'}, 'GPD': {'WRI1026692'}, 'GEO': {'GEO-39740'}}"
1313,Bancairon,hydro,Reservoir,Store,FR,68.65314250572595,,1933.0,,,44.003,7.137,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H853'}, 'GPD': {'WRI1026721'}, 'GEO': {'GEO-39702'}}"
1314,Beaumont,hydro,Run-Of-River,PP,FR,41.371861139609756,,1969.0,,,43.735,5.753,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1152'}, 'GPD': {'WRI1026713'}, 'GEO': {'GEO-39824'}}"
1315,Beauvoir,hydro,Run-Of-River,PP,FR,36.67051327999114,,1963.0,,,45.121,5.319,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1210'}, 'GPD': {'WRI1026705'}, 'GEO': {'GEO-39791'}}"
1316,Brillanne,hydro,Run-Of-River,PP,FR,28.208087143803876,,1906.0,,,43.921,5.925,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1374'}, 'GPD': {'WRI1026693'}, 'GEO': {'GEO-39707'}}"
1317,Castelnau Lassouts Castelnau Lassouts Castelnau Lassouts,hydro,Reservoir,Store,FR,57.66863970647873,,1949.0,,,44.505,2.874,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H952'}, 'GPD': {'WRI1026710'}, 'GEO': {'GEO-39729'}}"
1318,Castillon,hydro,Reservoir,Store,FR,94.57302573716203,,1948.0,,,43.878,6.538,,149.0,100.0,0.0,{nan},"{'JRC': {'JRC-H682'}, 'GPD': {'WRI1026731'}, 'GEO': {'GEO-39704'}}"
1319,Castirla,hydro,Reservoir,Store,FR,75.79749856875486,,1968.0,,,42.38,9.134,,25.5,74.0,0.0,{nan},"{'JRC': {'JRC-H797'}, 'GPD': {'WRI1026723'}, 'GEO': {'GEO-39763'}}"
1320,Chaudanne,hydro,Reservoir,Store,FR,33.36542726123195,,1952.0,,,43.848,6.544,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1301'}, 'GPD': {'WRI1026685'}, 'GEO': {'GEO-39705'}}"
1321,Cize Bolozon Cize Bolozon Cize Bolozon,hydro,Reservoir,Store,FR,31.58044555652812,,1931.0,,,46.211,5.465,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1323'}, 'GPD': {'WRI1026684'}, 'GEO': {'GEO-39699'}}"
1322,Coiselet,hydro,Reservoir,Store,FR,56.29557686526521,,1971.0,,,46.294,5.592,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H963'}, 'GPD': {'WRI1026707'}, 'GEO': {'GEO-39700'}}"
1323,Cusset Jonage Cusset Jonage Cusset Jonage,hydro,Run-Of-River,PP,FR,79.92291357179302,,1899.0,,,45.79,5.025,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H765'}, 'GPD': {'WRI1026739'}, 'GEO': {'GEO-39812'}}"
1324,Egets,hydro,Reservoir,Store,FR,51.2152443082702,,1924.0,,,42.955,0.565,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1037'}, 'GPD': {'WRI1026702'}, 'GEO': {'GEO-39774'}}"
1325,Argentiere Bessee Argentiere La Bessee Argentiere La Bessee,hydro,Reservoir,Store,FR,52.17638831380902,,1909.0,,,44.783,6.548,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1025'}, 'GPD': {'WRI1026703'}, 'GEO': {'GEO-39767'}}"
1432,Provence Biomasse,solid biomass,Steam Turbine,PP,FR,150.0,,1995.0,2018.0,,43.4688,5.4896,,0.0,0.0,0.0,{'17W100P100P03647'},"{'ENTSOE': {'17W100P100P03647'}, 'GEM': {'G108157'}, 'OPSD': {'OEU-164'}}"
1635,Salon,hydro,Reservoir,PP,FR,133.51485986422875,,1965.0,,,43.6331,5.1148,,0.0,0.0,0.0,{nan},"{'GEM': {'G601702'}, 'JRC': {'JRC-H673'}, 'GEO': {'GEO-39737'}}"
1636,Mallemort,hydro,Reservoir,PP,FR,137.6871992349859,,1966.0,,,43.7161,5.2061,,0.0,0.0,0.0,{nan},"{'GEM': {'G601673'}, 'JRC': {'JRC-H672'}, 'GEO': {'GEO-39734'}}"
1637,Laval De Cere,hydro,Run-Of-River,Store,FR,133.51485986422875,,1967.0,,,44.9532,1.9495,,0.0,0.0,0.0,{nan},"{'GEM': {'G601668'}, 'JRC': {'JRC-H390'}, 'GEO': {'GEO-39799'}}"
1638,Gambsheim,hydro,Run-Of-River,PP,FR,139.07797902523828,,1974.0,,,48.6852,7.9141,,0.0,0.0,0.0,{nan},"{'GEM': {'G604125'}, 'JRC': {'JRC-H650'}, 'GEO': {'GEO-39810'}}"
1878,Romanche Gavet,hydro,Run-Of-River,PP,FR,134.90563965448115,,2020.0,,,45.1172,5.9613,,0.0,0.0,0.0,{nan},"{'GEM': {'G601691'}, 'JRC': {'JRC-H3673'}}"
2584,Teich,hydro,Reservoir,Store,FR,8.6502959566672,,1942.0,,,42.71,1.864,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1918'}, 'GEO': {'GEO-39718'}}"
2585,Rhue La Rhue La,hydro,Reservoir,Store,FR,16.476754205824726,,1952.0,,,45.415,2.499,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1688'}, 'GEO': {'GEO-39741'}}"
2586,Monceaux La Virolle Monceaux La Virolle,hydro,Reservoir,Store,FR,26.424816014795276,,1946.0,,,45.576,1.84,,20.5,32.0,0.0,{nan},"{'JRC': {'JRC-H1420'}, 'GEO': {'GEO-39753'}}"
2587,Lazer Le Lazer Le Lazer Le,hydro,Reservoir,Store,FR,22.655537033008994,,1994.0,,,44.346,5.868,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1496'}, 'GEO': {'GEO-39772'}}"
2588,Largue,hydro,Run-Of-River,PP,FR,11.283234856130772,,1916.0,,,43.854,5.859,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1834'}, 'GEO': {'GEO-39708'}}"
2589,Hourat,hydro,Reservoir,Store,FR,190.85573623601346,,,,,43.075,-0.42,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H374'}, 'GEO': {'GEO-39801'}}"
2590,Claux,hydro,Reservoir,Store,FR,18.536348481552814,,1932.0,,,44.876,6.48,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1609'}, 'GEO': {'GEO-39769'}}"
2591,Champcella,hydro,Reservoir,Store,FR,16.476754205824726,,1909.0,,,44.737,6.575,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1687'}, 'GEO': {'GEO-39768'}}"
2592,Cambeyrac,hydro,Reservoir,Store,FR,13.456015932902485,,1957.0,,,44.655,2.574,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1777'}, 'GEO': {'GEO-39728'}}"
5162,Montelimar Chateauneuf Du Rhone,hydro,Run-Of-River,PP,FR,396.37224022192913,,1957.0,1957.0,,44.59281,4.72593,,0.0,19.0,0.0,{nan},"{'JRC': {'JRC-H150'}, 'OPSD': {'OEU-221'}}"
6511,Cycofos Tv,other,,PP,FR,62.0,,2009.0,2009.0,,43.42801,4.88652,,0.0,0.0,0.0,{'17W100P100P0352E'},"{'ENTSOE': {'17W100P100P0352E'}, 'OPSD': {'OEU-312'}}"
7377,Arvan,hydro,Run-Of-River,PP,FR,40.3326139173191,,,,,45.239059,6.3168593,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3407'}}
7436,Calypso,hydro,Run-Of-River,PP,FR,27.53743984699718,,,,,45.235311,6.4399136,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3406'}}
7477,Centrale Hydraulique Edf De Golfech Sud Ouest,hydro,Run-Of-River,PP,FR,87.61912678590012,,,,,44.1091231,0.8503732,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3672'}}
7478,Centrale Hydro Electrique Luz,hydro,Run-Of-River,PP,FR,103.71044895912019,,,,,42.87024,-0.01209,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3421'}}
7479,Centrale Hydroelectrique Arrens,hydro,Run-Of-River,PP,FR,34.07410486118338,,,,,42.9474,-0.2179,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3418'}}
7480,Centrale Hydroelectrique De Lau Balagnas,hydro,Run-Of-River,PP,FR,43.531407434899585,,,,,42.9929,-0.0998,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3420'}}
7481,Centrale Hydroelectrique De Nouaux,hydro,Run-Of-River,PP,FR,26.70297197284575,,,,,42.9842,-0.1428,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3419'}}
7482,Centrale Hydroelectrique De Tucoy,hydro,Run-Of-River,PP,FR,15.43765567180145,,,,,42.90973,-0.25888,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3417'}}
7774,Laparan,hydro,Reservoir,Store,FR,61.194310771104846,,,,,42.6717259,1.7009906,,15.7,439.0,0.0,{nan},{'JRC': {'JRC-H3408'}}
7836,Montahut,hydro,Reservoir,Store,FR,135.9332221702384,,,,,43.571,2.94,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H535'}}
7875,Orelle,hydro,Run-Of-River,PP,FR,100.13614489817157,,,,,45.20308,6.57913,,0.0,0.0,0.0,{nan},{'JRC': {'JRC-H3405'}}
8082,Villerest,hydro,Reservoir,Store,FR,80.6652278346382,,,,,45.9869,4.04938,,128.0,70.0,0.0,{nan},{'JRC': {'JRC-H755'}}
9592,Aussois,hydro,Reservoir,PP,FR,120.99784175195731,,1947.0,,,45.2518,6.7236,,0.0,0.0,0.0,{nan},{'GEM': {'G601639'}}
11880,Dalkia,solid biomass,Steam Turbine,PP,FR,50.0,,2010.0,,,44.6314,-0.9779,,0.0,0.0,0.0,{nan},{'GEM': {'G201388'}}
14046,Iffezheim,hydro,Run-Of-River,PP,FR,203.0538493768479,,1978.0,,,48.8325,8.1115,,0.0,0.0,0.0,{nan},{'GEM': {'G604127'}}
14109,Isseane Waste To Energy,solid biomass,Steam Turbine,PP,FR,52.0,,2007.0,,,48.8321,2.2636,,0.0,0.0,0.0,{nan},{'GEM': {'G200286'}}
14149,Ivry Paris Xiii,solid biomass,Steam Turbine,PP,FR,64.0,,1969.0,,2023.0,48.8229,2.3876,,0.0,0.0,0.0,{nan},{'GEM': {'G200287'}}
15356,Les Brevieres,hydro,Reservoir,PP,FR,125.17018112271445,,1952.0,,,45.5042,6.9247,,0.0,0.0,0.0,{nan},{'GEM': {'G601670'}}
16259,Montahut,hydro,Reservoir,PP,FR,132.12408007397636,,1966.0,,,43.5708,2.9397,,0.0,0.0,0.0,{nan},{'GEM': {'G601676'}}
19054,Saint Pierre Cognet,hydro,Run-Of-River,PP,FR,140.46875881549067,,1957.0,,,44.8725,5.7732,,0.0,0.0,0.0,{nan},{'GEM': {'G601696'}}
21365,Vesta Waste To Energy,solid biomass,Steam Turbine,PP,FR,32.0,,2000.0,,,49.4291,1.0315,,0.0,0.0,0.0,{nan},{'GEM': {'G200352'}}
1,Cattenom,nuclear,steam turbine,PP,FR,2600.0,,1991.0,,2051.0,49.406263,6.243668,,,,,"{'17W100P100P0190E', '17W100B100P0189S', '17W100P100P01881', '17W100P100P01873'}",
2,Chooz,nuclear,steam turbine,PP,FR,3000.0,,2000.0,,2060.0,50.102368,4.807117,,,,,"{'17W100P100P01962', '17W100P100P01954'}",
3,Civaux,nuclear,steam turbine,PP,FR,2990.0,,2002.0,,2062.0,46.444209,0.664866,,,,,"{'17W100P100P0198Z', '17W100P100P01970'}",
4,Flamanville,nuclear,steam turbine,PP,FR,1630.0,,2020.0,,2085.0,49.53207,-1.865804,,,,,"{'17W100P100P0210Y', '17W100P100P0209J'}",
5,Golfech,nuclear,steam turbine,PP,FR,2620.0,,1991.0,,2051.0,44.114113,0.851985,,,,,"{'17W100P100P0211W', '17W100P100P0212U'}",
6,Penly,nuclear,steam turbine,PP,FR,6000.0,,1990.0,,2050.0,49.957475,1.222451,,,,,"{'17W100P100P0226J', '17W100P100P0225L'}",
94,Tricastin,nuclear,Steam Turbine,PP,FR,3340.0,,1980.0,,2055.0,44.3311,4.7311,,0.0,0.0,0.0,"{'17W100P100P0234K', '17W100P100P0232O', '17W100P100P0233M', '17W100P100P0231Q'}","{'ENTSOE': {'17W100P100P0234K', '17W100P100P0232O', '17W100P100P0233M', '17W100P100P0231Q'}, 'GEM': {'G100000500288', 'G100000500285', 'G100000500287', 'G100000500286'}, 'OPSD': {'OEU-308', 'OEU-310', 'OEU-309', 'OEU-311'}, 'WIKIPEDIA': {'WIKIPEDIA-124', 'WIKIPEDIA-125', 'WIKIPEDIA-123', 'WIKIPEDIA-122'}, 'GPD': {'WRI1002782'}, 'GEO': {'GEO-5778'}}"
